city,native_cat,equiv_cat
Memphis,robbery,robbery
Memphis,assault,assault
Memphis,drugs,drugs
Memphis,theft,theft
Memphis,weapons offense,weapons offense
Memphis,breaking & entering,breaking & entering
Memphis,property crime,property crime
Memphis,theft of vehicle,theft of vehicle
Memphis,theft from vehicle,theft from vehicle
Memphis,liquor,liquor
Memphis,arson,arson
Memphis,disorder,disorder
Memphis,traffic,traffic
Memphis,vehicle recovery,vehicle recovery
Memphis,family offense,family offense
Memphis,kidnapping,kidnapping
Memphis,homicide,homicide
Chicago,theft,theft
Chicago,deceptive practice,none
Chicago,other offense,none
Chicago,motor vehicle theft,theft of vehicle
Chicago,criminal damage,property crime
Chicago,assault,assault
Chicago,battery,assault
Chicago,narcotics,drugs
Chicago,weapons violation,weapons offense
Chicago,offense involving children,none
Chicago,robbery,robbery
Chicago,criminal trespass,breaking & entering
Chicago,liquor law violation,liquor
Chicago,burglary,breaking & entering
Chicago,interference with public officer,disorder
Chicago,crim sexual assault,assault
Chicago,arson,arson
Chicago,criminal sexual assault,assault
Chicago,prostitution,none
Chicago,public peace violation,disorder
Chicago,sex offense,none
Chicago,stalking,none
Chicago,kidnapping,kidnapping
Chicago,intimidation,disorder
Chicago,concealed carry license violation,weapons offense
Chicago,gambling,none
Chicago,obscenity,disorder
Chicago,homicide,homicide
Chicago,non-criminal,none
Chicago,human trafficking,kidnapping
Chicago,public indecency,disorder
Chicago,non-criminal (subject specified),none
Chicago,other narcotic violation,drugs
Chicago,ritualism,none
Boston,investigate person,none
Boston,larceny,theft
Boston,harassment,disorder
Boston,property lost,none
Boston,fraud,none
Boston,auto theft,theft of vehicle
Boston,counterfeiting,none
Boston,confidence games,none
Boston,commercial burglary,theft
Boston,vandalism,property crime
Boston,other,none
Boston,missing person reported,none
Boston,police service incidents,none
Boston,license plate related incidents,traffic
Boston,residential burglary,breaking & entering
Boston,simple assault,assault
Boston,property found,theft
Boston,larceny from motor vehicle,theft from vehicle
Boston,medical assistance,none
Boston,motor vehicle accident response,none
Boston,aggravated assault,assault
Boston,landlord/tenant disputes,property crime
Boston,investigate property,property crime
Boston,auto theft recovery,vehicle recovery
Boston,missing person located,none
Boston,embezzlement,none
Boston,violations,none
Boston,criminal harassment,disorder
Boston,disorderly conduct,disorder
Boston,warrant arrests,none
Boston,other burglary,breaking & entering
Boston,restraining order violations,none
Boston,recovered stolen property,property crime
Boston,service,none
Boston,property related damage,property crime
Boston,robbery,robbery
Boston,towed,traffic
Boston,evading fare,traffic
Boston,license violation,traffic
Boston,verbal disputes,disorder
Boston,fire related reports,none
Boston,firearm violations,weapons offense
Boston,search warrants,none
Boston,operating under the influence,traffic
Boston,drug violation,drugs
Boston,prisoner related incidents,none
Boston,firearm discovery,weapons offense
Boston,ballistics,weapons offense
Boston,liquor violation,liquor
Boston,homicide,homicide
Boston,offenses against child / family,none
Boston,harbor related incidents,none
Boston,arson,arson
Boston,assembly or gathering violations,disorder
Boston,bomb hoax,disorder
Boston,aircraft,none
Boston,phone call complaints,none
Boston,prostitution,none
Boston,human trafficking,none
Boston,home invasion,breaking & entering
Boston,explosives,none
Boston,unnamed: 62,none
