date,THEFT,DECEPTIVE PRACTICE,OTHER OFFENSE,MOTOR VEHICLE THEFT,CRIMINAL DAMAGE,ASSAULT,BATTERY,NARCOTICS,WEAPONS VIOLATION,OFFENSE INVOLVING CHILDREN,ROBBERY,CRIMINAL TRESPASS,LIQUOR LAW VIOLATION,BURGLARY,INTERFERENCE WITH PUBLIC OFFICER,CRIM SEXUAL ASSAULT,ARSON,CRIMINAL SEXUAL ASSAULT,PROSTITUTION,PUBLIC PEACE VIOLATION,SEX OFFENSE,STALKING,KIDNAPPING,INTIMIDATION,CONCEALED CARRY LICENSE VIOLATION,GAMBLING,OBSCENITY,HOMICIDE,NON-CRIMINAL,HUMAN TRAFFICKING,PUBLIC INDECENCY,NON-CRIMINAL (SUBJECT SPECIFIED),OTHER NARCOTIC VIOLATION,RITUALISM,city
2018-01-01,136,127,65,65,67,38,162,17,20,118,30,11,1,32,2,12,0,16,0,2,43,1,0,1,0,0,1,4,0,0,0,0,0,0,Chicago
2018-01-02,128,63,49,51,46,28,89,25,9,1,28,17,1,20,1,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Chicago
2018-01-03,159,56,39,25,38,39,81,34,12,1,37,17,1,19,3,3,1,0,3,3,0,0,1,0,0,2,0,1,0,1,0,0,0,0,Chicago
2018-01-04,134,48,43,46,47,42,102,22,15,6,32,23,0,31,4,0,2,0,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,Chicago
2018-01-05,164,60,45,44,63,53,107,28,9,7,34,16,1,24,2,3,0,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,Chicago
2018-01-06,111,37,41,34,51,48,132,21,13,3,24,20,2,28,3,5,0,0,0,5,2,2,0,0,0,1,0,3,0,0,0,0,0,0,Chicago
2018-01-07,108,29,29,33,55,39,120,18,8,6,41,16,0,23,2,0,0,0,4,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,Chicago
2018-01-08,164,42,36,28,54,40,98,43,13,6,37,23,0,28,3,1,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,Chicago
2018-01-09,158,54,33,40,47,46,98,48,10,4,32,22,1,46,1,1,2,0,0,4,1,0,0,0,0,0,0,4,0,0,0,0,0,0,Chicago
2018-01-10,183,55,40,26,75,49,112,46,10,11,32,28,0,32,3,1,0,1,5,2,4,2,0,0,0,0,1,2,0,0,0,0,0,0,Chicago
