city,date,crime_type,crime_count,daily_cases,total_cases
Memphis,2018-01-01,robbery,14,0,0
Memphis,2018-01-01,assault,77,0,0
Memphis,2018-01-01,drugs,1,0,0
Memphis,2018-01-01,theft,69,0,0
Memphis,2018-01-01,weapons offense,1,0,0
Memphis,2018-01-01,breaking & entering,16,0,0
Memphis,2018-01-01,property crime,64,0,0
Memphis,2018-01-01,theft of vehicle,18,0,0
Memphis,2018-01-01,theft from vehicle,16,0,0
Memphis,2018-01-01,liquor,0,0,0
Memphis,2018-01-01,arson,1,0,0
Memphis,2018-01-01,disorder,8,0,0
Memphis,2018-01-01,traffic,0,0,0
Memphis,2018-01-01,vehicle recovery,1,0,0
Memphis,2018-01-01,family offense,1,0,0
Memphis,2018-01-01,kidnapping,0,0,0
Memphis,2018-01-01,homicide,0,0,0
Memphis,2018-01-02,robbery,13,0,0
Memphis,2018-01-02,assault,77,0,0
Memphis,2018-01-02,drugs,3,0,0
Memphis,2018-01-02,theft,58,0,0
Memphis,2018-01-02,weapons offense,2,0,0
Memphis,2018-01-02,breaking & entering,27,0,0
Memphis,2018-01-02,property crime,49,0,0
Memphis,2018-01-02,theft of vehicle,25,0,0
Memphis,2018-01-02,theft from vehicle,31,0,0
Memphis,2018-01-02,liquor,2,0,0
Memphis,2018-01-02,arson,0,0,0
Memphis,2018-01-02,disorder,0,0,0
Memphis,2018-01-02,traffic,0,0,0
Memphis,2018-01-02,vehicle recovery,2,0,0
Memphis,2018-01-02,family offense,1,0,0
Memphis,2018-01-02,kidnapping,0,0,0
Memphis,2018-01-02,homicide,0,0,0
Memphis,2018-01-03,robbery,15,0,0
Memphis,2018-01-03,assault,54,0,0
Memphis,2018-01-03,drugs,12,0,0
Memphis,2018-01-03,theft,58,0,0
Memphis,2018-01-03,weapons offense,1,0,0
Memphis,2018-01-03,breaking & entering,21,0,0
Memphis,2018-01-03,property crime,34,0,0
Memphis,2018-01-03,theft of vehicle,23,0,0
Memphis,2018-01-03,theft from vehicle,14,0,0
Memphis,2018-01-03,liquor,0,0,0
Memphis,2018-01-03,arson,0,0,0
Memphis,2018-01-03,disorder,6,0,0
Memphis,2018-01-03,traffic,0,0,0
Memphis,2018-01-03,vehicle recovery,1,0,0
Memphis,2018-01-03,family offense,1,0,0
Memphis,2018-01-03,kidnapping,0,0,0
Memphis,2018-01-03,homicide,0,0,0
Memphis,2018-01-04,robbery,15,0,0
Memphis,2018-01-04,assault,63,0,0
Memphis,2018-01-04,drugs,20,0,0
Memphis,2018-01-04,theft,63,0,0
Memphis,2018-01-04,weapons offense,3,0,0
Memphis,2018-01-04,breaking & entering,20,0,0
Memphis,2018-01-04,property crime,27,0,0
Memphis,2018-01-04,theft of vehicle,25,0,0
Memphis,2018-01-04,theft from vehicle,28,0,0
Memphis,2018-01-04,liquor,0,0,0
Memphis,2018-01-04,arson,0,0,0
Memphis,2018-01-04,disorder,5,0,0
Memphis,2018-01-04,traffic,0,0,0
Memphis,2018-01-04,vehicle recovery,1,0,0
Memphis,2018-01-04,family offense,0,0,0
Memphis,2018-01-04,kidnapping,1,0,0
Memphis,2018-01-04,homicide,1,0,0
Memphis,2018-01-05,robbery,10,0,0
Memphis,2018-01-05,assault,61,0,0
Memphis,2018-01-05,drugs,13,0,0
Memphis,2018-01-05,theft,59,0,0
Memphis,2018-01-05,weapons offense,3,0,0
Memphis,2018-01-05,breaking & entering,22,0,0
Memphis,2018-01-05,property crime,30,0,0
Memphis,2018-01-05,theft of vehicle,22,0,0
Memphis,2018-01-05,theft from vehicle,22,0,0
Memphis,2018-01-05,liquor,0,0,0
Memphis,2018-01-05,arson,1,0,0
Memphis,2018-01-05,disorder,5,0,0
Memphis,2018-01-05,traffic,2,0,0
Memphis,2018-01-05,vehicle recovery,1,0,0
Memphis,2018-01-05,family offense,0,0,0
Memphis,2018-01-05,kidnapping,0,0,0
Memphis,2018-01-05,homicide,0,0,0
Memphis,2018-01-06,robbery,10,0,0
Memphis,2018-01-06,assault,60,0,0
Memphis,2018-01-06,drugs,11,0,0
Memphis,2018-01-06,theft,63,0,0
Memphis,2018-01-06,weapons offense,1,0,0
Memphis,2018-01-06,breaking & entering,19,0,0
Memphis,2018-01-06,property crime,28,0,0
Memphis,2018-01-06,theft of vehicle,17,0,0
Memphis,2018-01-06,theft from vehicle,23,0,0
Memphis,2018-01-06,liquor,2,0,0
Memphis,2018-01-06,arson,0,0,0
Memphis,2018-01-06,disorder,2,0,0
Memphis,2018-01-06,traffic,2,0,0
