city,date,daily_cases,total_cases
Boston,2020-01-22,0,0
Boston,2020-01-23,0,0
Boston,2020-01-24,0,0
Boston,2020-01-25,0,0
Boston,2020-01-26,0,0
Boston,2020-01-27,0,0
Boston,2020-01-28,0,0
Boston,2020-01-29,1,1
Boston,2020-01-30,0,1
Boston,2020-01-31,0,1
Boston,2020-02-01,0,1
Boston,2020-02-02,0,1
Boston,2020-02-03,0,1
Boston,2020-02-04,0,1
Boston,2020-02-05,0,1
Boston,2020-02-06,0,1
Boston,2020-02-07,0,1
Boston,2020-02-08,0,1
Boston,2020-02-09,0,1
Boston,2020-02-10,0,1
Boston,2020-02-11,0,1
Boston,2020-02-12,0,1
Boston,2020-02-13,0,1
Boston,2020-02-14,0,1
Boston,2020-02-15,0,1
Boston,2020-02-16,0,1
Boston,2020-02-17,0,1
Boston,2020-02-18,0,1
Boston,2020-02-19,0,1
Boston,2020-02-20,0,1
Boston,2020-02-21,0,1
Boston,2020-02-22,0,1
Boston,2020-02-23,0,1
Boston,2020-02-24,0,1
Boston,2020-02-25,0,1
Boston,2020-02-26,0,1
Boston,2020-02-27,0,1
Boston,2020-02-28,0,1
Boston,2020-02-29,0,1
Boston,2020-03-01,0,1
Boston,2020-03-02,0,1
Boston,2020-03-03,0,1
Boston,2020-03-04,2,3
Boston,2020-03-05,1,4
Boston,2020-03-06,5,9
Boston,2020-03-07,8,17
Boston,2020-03-08,3,20
Boston,2020-03-09,0,20
Boston,2020-03-10,2,22
Boston,2020-03-11,5,27
Boston,2020-03-12,5,32
Boston,2020-03-13,13,45
Boston,2020-03-14,14,59
Boston,2020-03-15,15,74
Boston,2020-03-16,43,117
Boston,2020-03-17,53,170
Boston,2020-03-18,58,228
Boston,2020-03-19,60,288
Boston,2020-03-20,80,368
Boston,2020-03-21,61,429
Boston,2020-03-22,48,477
Boston,2020-03-23,113,590
Boston,2020-03-24,124,714
Boston,2020-03-25,146,860
Boston,2020-03-26,170,1030
Boston,2020-03-27,174,1204
Boston,2020-03-28,153,1357
Boston,2020-03-29,118,1475
Boston,2020-03-30,226,1701
Boston,2020-03-31,266,1967
Boston,2020-04-01,288,2255
Boston,2020-04-02,276,2531
Boston,2020-04-03,397,2928
Boston,2020-04-04,209,3137
Boston,2020-04-05,253,3390
Boston,2020-04-06,413,3803
Boston,2020-04-07,402,4205
Boston,2020-04-08,413,4618
Boston,2020-04-09,442,5060
Boston,2020-04-10,397,5457
Boston,2020-04-11,263,5720
Boston,2020-04-12,204,5924
Boston,2020-04-13,482,6406
Boston,2020-04-14,580,6986
Boston,2020-04-15,470,7456
Boston,2020-04-16,480,7936
Boston,2020-04-17,649,8585
Boston,2020-04-18,274,8859
Boston,2020-04-19,249,9108
Boston,2020-04-20,538,9646
Boston,2020-04-21,514,10160
Boston,2020-04-22,537,10697
Boston,2020-04-23,518,11215
Boston,2020-04-24,494,11709
Boston,2020-04-25,267,11976
Boston,2020-04-26,150,12126
Boston,2020-04-27,342,12468
Boston,2020-04-28,390,12858
Boston,2020-04-29,360,13218
Boston,2020-04-30,348,13566
Boston,2020-05-01,308,13874
Boston,2020-05-02,164,14038
Boston,2020-05-03,155,14193
Boston,2020-05-04,290,14483
Boston,2020-05-05,281,14764
Boston,2020-05-06,288,15052
Boston,2020-05-07,258,15310
Boston,2020-05-08,193,15503
Boston,2020-05-09,104,15607
Boston,2020-05-10,60,15667
Boston,2020-05-11,168,15835
Boston,2020-05-12,194,16029
Boston,2020-05-13,166,16195
Boston,2020-05-14,148,16343
Boston,2020-05-15,155,16498
Boston,2020-05-16,88,16586
Boston,2020-05-17,48,16634
Boston,2020-05-18,132,16766
Boston,2020-05-19,135,16901
Boston,2020-05-20,119,17020
Boston,2020-05-21,119,17139
Boston,2020-05-22,104,17243
Boston,2020-05-23,66,17309
Boston,2020-05-24,38,17347
Boston,2020-05-25,29,17376
Boston,2020-05-26,119,17495
Boston,2020-05-27,84,17579
Boston,2020-05-28,83,17662
Boston,2020-05-29,60,17722
Boston,2020-05-30,42,17764
Boston,2020-05-31,21,17785
Boston,2020-06-01,69,17854
Boston,2020-06-02,68,17922
Boston,2020-06-03,42,17964
Boston,2020-06-04,78,18042
Boston,2020-06-05,38,18080
Boston,2020-06-06,38,18118
Boston,2020-06-07,16,18134
Boston,2020-06-08,56,18190
Boston,2020-06-09,57,18247
Boston,2020-06-10,31,18278
Boston,2020-06-11,40,18318
Boston,2020-06-12,43,18361
Boston,2020-06-13,17,18378
Boston,2020-06-14,7,18385
Boston,2020-06-15,36,18421
Boston,2020-06-16,35,18456
Boston,2020-06-17,40,18496
Boston,2020-06-18,30,18526
Boston,2020-06-19,26,18552
Boston,2020-06-20,19,18571
Boston,2020-06-21,6,18577
Boston,2020-06-22,42,18619
Boston,2020-06-23,31,18650
Boston,2020-06-24,32,18682
Boston,2020-06-25,34,18716
Boston,2020-06-26,35,18751
Boston,2020-06-27,24,18775
Boston,2020-06-28,6,18781
Boston,2020-06-29,36,18817
Boston,2020-06-30,39,18856
Boston,2020-07-01,40,18896
Boston,2020-07-02,54,18950
Boston,2020-07-03,11,18961
Boston,2020-07-04,9,18970
Boston,2020-07-05,20,18990
Boston,2020-07-06,54,19044
Boston,2020-07-07,46,19090
Boston,2020-07-08,51,19141
Boston,2020-07-09,44,19185
Boston,2020-07-10,57,19242
Boston,2020-07-11,14,19256
Boston,2020-07-12,11,19267
Boston,2020-07-13,62,19329
Boston,2020-07-14,38,19367
Boston,2020-07-15,69,19436
Boston,2020-07-16,45,19481
Boston,2020-07-17,40,19521
Boston,2020-07-18,27,19548
Boston,2020-07-19,8,19556
Boston,2020-07-20,38,19594
Boston,2020-07-21,46,19640
Boston,2020-07-22,49,19689
Boston,2020-07-23,42,19731
Boston,2020-07-24,42,19773
Boston,2020-07-25,36,19809
Boston,2020-07-26,13,19822
Boston,2020-07-27,62,19884
Boston,2020-07-28,78,19962
Boston,2020-07-29,73,20035
Boston,2020-07-30,77,20112
Boston,2020-07-31,63,20175
Boston,2020-08-01,37,20212
Boston,2020-08-02,16,20228
Boston,2020-08-03,74,20302
Boston,2020-08-04,65,20367
Boston,2020-08-05,78,20445
Boston,2020-08-06,93,20538
Boston,2020-08-07,66,20604
Boston,2020-08-08,41,20645
Boston,2020-08-09,20,20665
Boston,2020-08-10,100,20765
Boston,2020-08-11,85,20850
Boston,2020-08-12,76,20926
Boston,2020-08-13,112,21038
Boston,2020-08-14,90,21128
Boston,2020-08-15,33,21161
