date,crime_type,count
01/01/1983,Theft,2
01/01/1986,Theft,1
01/01/1990,Theft,1
01/01/1992,Theft,2
01/01/1994,Theft,3
01/01/1995,Theft,1
01/01/1996,Theft,3
01/01/1997,Theft,5
01/01/1998,Theft,4
01/01/1999,Theft,5
01/01/2000,Disorder,2
01/01/2000,Theft,19
01/01/2001,Theft,14
01/01/2002,Theft,16
01/01/2003,Theft,18
01/01/2004,Theft,39
01/01/2005,Assault,5
01/01/2005,Breaking & Entering,2
01/01/2005,Disorder,1
01/01/2005,Property Crime,2
01/01/2005,Robbery,1
01/01/2005,Theft,47
01/01/2005,Theft of Vehicle,2
01/01/2006,Arson,3
01/01/2006,Assault,113
01/01/2006,Breaking & Entering,33
01/01/2006,Disorder,4
01/01/2006,Drugs,14
01/01/2006,Homicide,2
01/01/2006,Kidnapping,1
01/01/2006,Property Crime,92
01/01/2006,Robbery,18
01/01/2006,Theft,145
01/01/2006,Theft from Vehicle,33
01/01/2006,Theft of Vehicle,12
01/01/2006,Vehicle Recovery,3
01/01/2006,Weapons Offense,8
01/01/2007,Arson,1
01/01/2007,Assault,123
01/01/2007,Breaking & Entering,28
01/01/2007,Disorder,5
01/01/2007,Drugs,10
01/01/2007,Family Offense,1
01/01/2007,Property Crime,76
01/01/2007,Robbery,18
01/01/2007,Theft,147
01/01/2007,Theft from Vehicle,14
01/01/2007,Theft of Vehicle,23
01/01/2007,Vehicle Recovery,2
01/01/2007,Weapons Offense,2
01/01/2008,Arson,2
01/01/2008,Assault,116
01/01/2008,Breaking & Entering,41
01/01/2008,Disorder,3
01/01/2008,Drugs,12
01/01/2008,Family Offense,1
01/01/2008,Homicide,1
01/01/2008,Kidnapping,1
01/01/2008,Property Crime,73
01/01/2008,Robbery,15
01/01/2008,Theft,141
01/01/2008,Theft from Vehicle,19
01/01/2008,Theft of Vehicle,21
01/01/2008,Traffic,2
01/01/2008,Vehicle Recovery,3
01/01/2008,Weapons Offense,3
01/01/2009,Arson,2
01/01/2009,Assault,107
01/01/2009,Breaking & Entering,31
01/01/2009,Disorder,1
01/01/2009,Drugs,18
